name,email,industry,size,location
"Saudi Aramco","info@saudiaramco.com","النفط والغاز","كبيرة","السعودية"
"Emirates NBD","contactus@emiratesnbd.com","البنوك والخدمات المالية","متوسطة","الإمارات"
"Qatar Airways","qrinfo@qatarairways.com.qa","الطيران والنقل","متوسطة","قطر"
"Almarai Company","info@almarai.com","الأغذية والمشروبات","متوسطة","السعودية"
"Emaar Properties","customercare@emaar.ae","التطوير العقاري","متوسطة","الإمارات"
"National Bank of Egypt","info@nbe.com.eg","البنوك والخدمات المالية","متوسطة","مصر"
"Zain Group","info@zain.com","الاتصالات وتقنية المعلومات","متوسطة","الكويت"
"Majid Al Futtaim","contactus@maf.ae","التجارة والترفيه","متوسطة","الإمارات"
"STC Saudi Telecom","info@stc.com.sa","الاتصالات وتقنية المعلومات","متوسطة","السعودية"
"Commercial Bank of Dubai","contactus@cbd.ae","البنوك والخدمات المالية","صغيرة","الإمارات"
